metric,estimate_improvement_percent,lower_95,upper_95
Composite,9.733761329552,9.333076606764,10.132675304630
Area,15.908314083526,15.526483893288,16.288418356567
Delay,6.992020819708,5.472425937641,8.487187183129
Power,5.962132868582,4.033619879307,7.851891011159
