pair,seed,area_ratio,delay_ratio,power_ratio,composite_ratio
publication-01,101,0.840221563208,0.859073296061,1.018472703282,0.902522030928
publication-02,102,0.840221563208,0.855404976355,0.981108508977,0.890076932546
publication-03,103,0.863525701102,0.893997197317,0.963888005091,0.906176232215
publication-04,104,0.840221563208,0.989785433206,0.873679511977,0.899005490562
publication-05,105,0.840221563208,0.983241617658,0.858187357197,0.891686235283
publication-06,106,0.863525701102,1.008346303941,0.833094441790,0.898517221028
publication-07,107,0.840221563208,0.959183465896,0.908218356329,0.901215378662
publication-08,108,0.821086842215,0.969828701676,0.890023682652,0.891583240233
publication-09,109,0.813296503342,0.860509429005,0.922994324283,0.864439339848
publication-10,110,0.863525701102,0.976801644388,0.886135693215,0.907529240220
publication-11,111,0.848712931571,0.994998991629,0.877741553053,0.905003043215
publication-12,112,0.840221563208,0.887929853405,0.951330108827,0.892006271050
publication-13,113,0.840221563208,0.869006359568,0.984099766173,0.895678127314
publication-14,114,0.807284998169,0.941982367165,1.054601648352,0.929079121055
publication-15,115,0.840221563208,0.964582633109,0.952184540177,0.917243822965
publication-16,116,0.863525701102,0.904210611184,0.964425097568,0.909782943178
publication-17,117,0.815017754522,0.827265560743,1.118430034130,0.910207225028
publication-18,118,0.840221563208,0.885819097249,0.974845752254,0.898583118197
publication-19,119,0.840221563208,1.005050957889,0.898400000000,0.912046993396
publication-20,120,0.840221563208,0.940041266538,1.016987912447,0.929577302494
publication-21,121,0.815017754522,0.857504421749,0.933753943218,0.867385109329
publication-22,122,0.840221563208,0.941281745355,0.928754716981,0.902273420438
publication-23,123,0.863525701102,0.913568316041,0.971266182507,0.915064109042
publication-24,124,0.821086842215,0.874722114718,1.097294391686,0.923692575611
publication-25,125,0.840221563208,0.962539920813,0.884766807995,0.894431594805
publication-26,126,0.863525701102,0.980131710839,0.919087136929,0.919684355335
publication-27,127,0.863525701102,0.982339670500,0.808990487880,0.882050509851
publication-28,128,0.807284998169,0.991082133705,1.037606278613,0.939845298855
publication-29,129,0.840221563208,0.836349594160,1.041342486651,0.901138933712
publication-30,130,0.837622846999,1.004941258891,0.785201465201,0.871077436420
publication-31,131,0.840221563208,0.988267931429,0.921230769231,0.914560247588
publication-32,132,0.871145808167,0.867460697644,1.038863015899,0.922499872053
publication-33,133,0.840221563208,0.979186007366,0.963109563015,0.925361810481
publication-34,134,0.863525701102,0.967065798441,0.909144282988,0.912265745824
publication-35,135,0.837622846999,0.961169001449,0.885547344905,0.893346661241
publication-36,136,0.840221563208,0.989007401244,0.890845582885,0.904618083620
publication-37,137,0.840221563208,0.996345439655,0.896190194920,0.908659802624
publication-38,138,0.863525701102,0.881558220499,0.957125419591,0.899839470997
publication-39,139,0.863525701102,0.948581783088,0.943367424821,0.917649800584
publication-40,140,0.815017754522,0.942310270684,0.824114720515,0.858584193093
publication-41,141,0.833147005088,0.816880926893,1.161664880314,0.924670674603
publication-42,142,0.821086842215,0.847069092770,1.089544330625,0.911697879265
publication-43,143,0.840221563208,0.848143356404,1.065479056331,0.912296485144
publication-44,144,0.840221563208,0.938429773943,0.953649692574,0.909343900636
publication-45,145,0.815017754522,0.956757004282,0.994120529152,0.918620051177
publication-46,146,0.840221563208,0.904025351884,0.937587767202,0.893021925230
publication-47,147,0.840221563208,1.103304021652,0.853634156790,0.924954286793
publication-48,148,0.833147005088,1.071379591582,0.819097678493,0.900879907008
publication-49,149,0.863525701102,0.887469852417,1.022042499207,0.921791312405
publication-50,150,0.840221563208,0.898975575591,0.948760580411,0.894882707267
publication-51,151,0.829384833054,0.876185696241,0.986434108527,0.894966493828
publication-52,152,0.840221563208,0.903741360737,0.954183266932,0.898165962338
publication-53,153,0.840221563208,0.856155169424,0.993514710535,0.894074144976
publication-54,154,0.840221563208,0.990940408542,0.887787816963,0.904170182281
publication-55,155,0.863525701102,0.960508507689,0.828036500944,0.882284511283
publication-56,156,0.840221563208,0.882315741466,0.984903286680,0.900472551570
publication-57,157,0.843860265121,1.014983930278,0.882212765957,0.910823751830
publication-58,158,0.840221563208,0.930994135082,0.926286509040,0.898177219029
publication-59,159,0.856254925121,0.905283639965,0.869455406472,0.876755210676
publication-60,160,0.843860265121,0.959258057698,0.908604845447,0.902665853489
publication-61,161,0.832249677204,0.930286207526,0.927198602213,0.895394306615
publication-62,162,0.840221563208,0.952437169387,0.881076259848,0.890050303710
publication-63,163,0.840221563208,0.852239022721,0.994617868676,0.893039150736
publication-64,164,0.840221563208,0.918464557237,0.945034353529,0.900121786890
